q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
3.5081117965086026e+00,3.9330196302558150e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.5255650890285457e+00,3.9265087337906554e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.5430183815484888e+00,3.9196988184833179e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.5604716740684323e+00,3.9125904029352211e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.5779249665883754e+00,3.9051840284797308e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.5953782591083190e+00,3.8974802591409376e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.6128315516282621e+00,3.8894796815907046e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.6302848441482056e+00,3.8811829051039838e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.6477381366681487e+00,3.8725905615124297e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.6651914291880923e+00,3.8637033051562721e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.6826447217080354e+00,3.8545218128344910e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.7000980142279785e+00,3.8450467837532740e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.7175513067479220e+00,3.8352789394727707e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.7350045992678651e+00,3.8252190238521402e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.7524578917878086e+00,3.8148678029929058e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.7699111843077517e+00,3.8042260651806131e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.7873644768276953e+00,3.7932946208247956e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.8048177693476384e+00,3.7820743023972654e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.8222710618675819e+00,3.7705659643687127e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.8397243543875250e+00,3.7587704831436322e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.8571776469074681e+00,3.7466887569935887e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.8746309394274117e+00,3.7343217059888065e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.8920842319473548e+00,3.7216702719280979e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.9095375244672983e+00,3.7087354182671471e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.9269908169872414e+00,3.6955181300451459e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
3.9444441095071849e+00,3.6820194138097610e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.9618974020271280e+00,3.6682402975404947e-02,0.0000000000000000e+00,8.8817841970012523e-16,0.0000000000000000e+00
3.9793506945470716e+00,3.6541818305704007e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
